CODIGO,MUNICIPIO,NOMBRE_ESTACION,Coordenada_x,Coordenada_Y,PRECIPITACION,TEMPERATURA,ALTITUD
5102501,Tumaco,Mira El Gja,-78.6955556,1.5501389,3050,25.5,75
2606502,Miranda,Miranda,-76.2264753,3.2485772,1560,23.2,1156
5407504,Buenaventura,Mision La,-77.2795556,4.2253056,6993,25.6,5
4401504,Mocoa,Mocoa Acueducto,-76.6558333,1.1502778,4375,22.7,2050
3522502,Orocue,Modulos,-71.45964,4.93787,2312,26.7,130
4404503,Belen de Los Andaquies,Mono La,-75.8110278,1.3063056,3434,25,300
4701508,Puerres,Monopamba,-77.3069444,0.8077778,3331,16.6,1718
2115502,Dolores,Montana La,-74.9,3.55,1925,20.8,1260
2502523,Montecristo,Montecristo,-74.4833333,8.3,3912,27.7,100
2617504,Fredonia,Montenegro Hda,-75.6508333,5.8002778,1751,26,530
1307506,Monteria,Monteria,-75.8833333,8.75,1080,27.5,20
2320504,Morales,Morales-La Cruz,-73.86619,8.27808,1112,28.6,46
2802507,Agustin Codazzi,Motilonia Codazz,-73.2533611,9.9963889,1605,28.8,180
2120561,Sibate,Muna,-74.25,4.55,574,12.8,2565
2603502,El Tambo,Munchique,-76.90542,2.4997,2921,10.7,3012
2617503,Tamesis,Nacional Gja La,-75.6905556,5.7175,2247,22.6,1120
2613505,Chinchina,Naranjal,-75.7,4.9666667,2667,20.8,1400
3207501,Granada,Naranjos Los,-73.76234,3.42337,2996,24.7,220
2118502,Espinal,Nataima,-74.96442,4.19707,1342,28,431
1508502,Uribia,Nazareth,-71.2833333,12.1833333,494,26.9,85
2502514,Nechi,Nechi,-74.77415,8.1034,3534,27.8,25
2111504,Neiva,Neiva Gja,-75.3,2.95,1441,27.2,438
2620506,Anza,Noque La,-75.84374,6.40252,1219,27.2,450
2903508,Manati,Normal Manati,-74.9666667,10.45,1022,27.5,10
2701520,Yolombo,Normandia Hda,-75.1166667,6.7833333,2033,22.9,900
2502522,Rio Viejo,Norosi,-74.04225,8.54301,1593,28,160
2401519,Villa de San Diego de,Novilleros,-73.7833333,5.3333333,716,12.3,2550
3507501,Nuevo Colon,Nuevo Colon,-73.4560278,5.3536111,896,14.2,2438
2308508,San Roque,Nus Gja Exp El,-74.8372222,6.4833333,2160,23.2,872
1111503,Frontino,Nutibara,-76.25,6.8166667,1993,20.6,1400
3501501,Castilla La Nueva,Nutria La,-73.4333333,3.8,2410,25.8,230
5204501,Pasto,Obonuco,-77.3063889,1.2011111,799,13.1,2772
2120523,Bogota,Obs Met Nacional,-74.1,4.6333333,972,14.2,2556
